Configuration,ACYC,AFREQ,EXEC,FREQ,INST,INSTnom,INSTnom%,IPC,L2HIT,L2MISS,L2MPI,L3HIT,L3MISS,L3MPI,PhysIPC,PhysIPC%,READ,TIME(ticks),WRITE
hash-8-itr-7-probe-8,2158.0,0.974,0.2096,0.128,3532.0,0.4184,10.46,1.644,0.553,2.726,0.0007668,0.364,1.724,0.0004854,3.284,82.12,0.8924,2110.0,0.038852
hash-6-itr-25-probe-20,2111.42857143,0.957857142857,0.220142857143,0.125142857143,3708.57142857,0.439571428571,11.0057142857,1.75285714286,0.552142857143,2.17614285714,0.000604428571429,0.347,1.40428571429,0.000393428571429,3.50857142857,87.6714285714,0.761714285714,2108.57142857,0.0347957142857
hash-8-itr-2-probe-10,2327.5,1.02425,0.21075,0.13675,3582.5,0.42175,10.5375,1.5375,0.48375,3.8325,0.00108125,0.3535,2.4675,0.00069875,3.0775,76.925,1.13325,2125.0,0.05335
hash-8-itr-7-probe-2,2220.0,1.0,0.225,0.132,3777.5,0.44925,11.25,1.7075,0.603,2.195,0.00058075,0.41875,1.2425,0.00033125,3.415,85.375,0.765,2100.0,0.0469425
hash-8-itr-7-probe-4,2297.5,1.03275,0.22775,0.1365,3830.0,0.45525,11.3725,1.665,0.51875,2.5275,0.00066675,0.4125,1.4925,0.00039675,3.3275,83.225,0.8355,2102.5,0.0493775
hash-8-itr-7-probe-6,2242.5,1.01625,0.2175,0.1335,3657.5,0.4355,10.875,1.63,0.5675,2.825,0.00077725,0.3765,1.735,0.00047525,3.2625,81.6,0.9075,2100.0,0.0453575
hash-5-itr-14-probe-12,2408.0,1.054,0.2424,0.1432,4070.0,0.4848,12.12,1.694,0.5384,2.472,0.0006118,0.4122,1.4422,0.0003606,3.39,84.74,0.7814,2100.0,0.052164
hash-7-itr-7-probe-14,2226.0,1.0084,0.2134,0.1324,3586.0,0.4264,10.68,1.608,0.5232,3.046,0.0008536,0.3432,1.99,0.0005612,3.218,80.44,0.9628,2100.0,0.0441
hash-7-itr-19-probe-20,2393.33333333,1.04433333333,0.232833333333,0.139833333333,3985.0,0.465666666667,11.6333333333,1.67333333333,0.550333333333,2.88333333333,0.0007375,0.371333333333,1.81666666667,0.0004665,3.345,83.6666666667,0.903,2138.33333333,0.0441216666667
hash-4-itr-22-probe-16,2371.66666667,1.06333333333,0.248666666667,0.138833333333,4248.33333333,0.4975,12.45,1.79,0.5655,1.85,0.000437833333333,0.386166666667,1.1035,0.000262666666667,3.58333333333,89.55,0.680333333333,2138.33333333,0.0387583333333
hash-6-itr-17-probe-14,2368.33333333,1.06333333333,0.235333333333,0.138166666667,4035.0,0.470833333333,11.75,1.705,0.492833333333,2.475,0.000616666666667,0.350333333333,1.60833333333,0.000402666666667,3.41,85.2166666667,0.844666666667,2143.33333333,0.0381266666667
hash-8-itr-14-probe-12,2380.0,1.064,0.2308,0.139,3946.0,0.4612,11.54,1.664,0.485,2.868,0.0007296,0.3542,1.85,0.0004702,3.324,83.14,0.9242,2138.0,0.04382
hash-8-itr-14-probe-10,2138.33333333,0.968333333333,0.212333333333,0.127166666667,3581.66666667,0.424833333333,10.6366666667,1.68333333333,0.533,2.54333333333,0.000714333333333,0.3575,1.63883333333,0.000457666666667,3.36666666667,84.15,0.850333333333,2108.33333333,0.037525
hash-8-itr-14-probe-16,2346.66666667,1.037,0.224666666667,0.138666666667,3801.66666667,0.449666666667,11.2283333333,1.62333333333,0.52,3.10166666667,0.000841833333333,0.360833333333,1.99,0.000541833333333,3.24666666667,81.15,0.951166666667,2115.0,0.0440083333333
hash-8-itr-12-probe-8,2280.0,1.0294,0.2256,0.1352,3806.0,0.4508,11.276,1.662,0.5502,2.412,0.0006484,0.3802,1.494,0.0004036,3.326,83.16,0.8412,2110.0,0.04314
hash-8-itr-12-probe-6,2356.0,1.06,0.2342,0.139,3972.0,0.4684,11.72,1.69,0.5562,2.528,0.000634,0.3788,1.5492,0.0003902,3.382,84.52,0.8374,2120.0,0.044042
hash-7-itr-7-probe-10,2240.0,1.0114,0.2146,0.1332,3612.0,0.4296,10.742,1.616,0.5496,2.97,0.000825,0.3544,1.91,0.0005282,3.228,80.74,0.952,2100.0,0.04694
hash-8-itr-14-probe-18,2368.33333333,1.0555,0.228166666667,0.140833333333,3835.0,0.4565,11.4183333333,1.62666666667,0.5095,3.17333333333,0.000846,0.329666666667,2.07333333333,0.000554833333333,3.25666666667,81.45,0.971166666667,2100.0,0.039215
hash-8-itr-12-probe-2,2390.0,1.064,0.2438,0.1412,4126.0,0.4882,12.18,1.726,0.6224,2.062,0.0005002,0.4478,1.123,0.0002734,3.458,86.44,0.7184,2110.0,0.04682
hash-8-itr-4-probe-10,2315.0,1.035,0.21475,0.137,3632.5,0.4295,10.7275,1.57,0.5225,3.4775,0.00096475,0.36,2.2375,0.0006225,3.1375,78.475,1.05575,2115.0,0.04871
hash-8-itr-17-probe-20,2315.0,1.0495,0.227166666667,0.137166666667,3830.0,0.4545,11.3783333333,1.655,0.551333333333,2.98,0.000804,0.331,1.995,0.000539833333333,3.31166666667,82.8,0.941,2108.33333333,0.0373766666667
hash-7-itr-7-probe-12,2094.0,0.9426,0.2018,0.1246,3388.0,0.4034,10.064,1.62,0.5346,2.874,0.0008606,0.3648,1.83,0.000546,3.242,81.12,0.9182,2100.0,0.04458
hash-5-itr-25-probe-20,2284.28571429,1.01157142857,0.234857142857,0.135,3970.0,0.469857142857,11.7414285714,1.73714285714,0.529142857143,2.27,0.000591857142857,0.394142857143,1.39857142857,0.000367714285714,3.47428571429,86.8571428571,0.770428571429,2114.28571429,0.0398542857143
hash-8-itr-7-probe-20,2172.0,0.9806,0.2024,0.1292,3400.0,0.4048,10.102,1.57,0.5042,3.514,0.0010442,0.3274,2.356,0.0007022,3.138,78.46,1.0522,2100.0,0.047626
hash-8-itr-12-probe-12,2310.0,1.0266,0.2226,0.135,3814.0,0.4452,11.128,1.654,0.4958,2.874,0.0007586,0.3532,1.856,0.0004896,3.306,82.72,0.9264,2142.0,0.04578
hash-8-itr-4-probe-18,2280.0,1.01975,0.202,0.13475,3405.0,0.4035,10.09,1.4925,0.41725,4.3475,0.0012825,0.32325,2.9225,0.000869,2.9925,74.775,1.1515,2112.5,0.049
hash-7-itr-9-probe-8,2378.0,1.0302,0.2318,0.1408,3916.0,0.4634,11.58,1.646,0.5428,2.758,0.000708,0.4042,1.62,0.000415,3.294,82.36,0.8744,2112.0,0.05112
hash-8-itr-4-probe-20,2128.0,0.9468,0.1902,0.1252,3230.0,0.3804,9.504,1.522,0.4298,3.846,0.0011982,0.3204,2.616,0.0008108,3.044,76.12,1.1222,2122.0,0.04724
hash-6-itr-25-probe-12,2340.0,1.0385,0.2425,0.1385,4093.33333333,0.485,12.15,1.75333333333,0.590333333333,2.20666666667,0.000554166666667,0.393166666667,1.315,0.000330833333333,3.505,87.6,0.740166666667,2110.0,0.0451833333333
hash-8-itr-2-probe-20,2195.0,0.979,0.19025,0.13,3217.5,0.381,9.5175,1.465,0.4055,4.2725,0.00133,0.33075,2.86,0.00089325,2.93,73.275,1.23,2112.5,0.051525
hash-6-itr-25-probe-14,2368.33333333,1.05666666667,0.243166666667,0.138166666667,4168.33333333,0.486333333333,12.15,1.75666666667,0.5625,2.195,0.000542333333333,0.356,1.39566666667,0.000347666666667,3.51666666667,87.8666666667,0.757833333333,2150.0,0.0405666666667
hash-6-itr-25-probe-16,2333.33333333,1.06,0.241833333333,0.138,4093.33333333,0.483833333333,12.0833333333,1.75333333333,0.599333333333,2.31166666667,0.000581166666667,0.369666666667,1.44866666667,0.000368666666667,3.50666666667,87.7166666667,0.774333333333,2118.33333333,0.0400833333333
hash-6-itr-25-probe-18,2358.33333333,1.028,0.238333333333,0.137833333333,4078.33333333,0.476666666667,11.9166666667,1.735,0.566,2.48833333333,0.000628833333333,0.388833333333,1.53166666667,0.000388666666667,3.47,86.7333333333,0.814666666667,2140.0,0.0436166666667
hash-8-itr-12-probe-14,2250.0,1.01183333333,0.215666666667,0.132333333333,3675.0,0.432,10.785,1.62666666667,0.464833333333,2.94166666667,0.000824333333333,0.3525,1.93333333333,0.000546,3.25833333333,81.4166666667,0.939166666667,2128.33333333,0.0348516666667
hash-7-itr-9-probe-2,2172.0,0.974,0.2218,0.1288,3744.0,0.4438,11.08,1.73,0.6452,1.934,0.0005156,0.4162,1.0946,0.0002938,3.454,86.36,0.714,2110.0,0.04344
hash-7-itr-9-probe-4,2184.0,0.977,0.2212,0.1296,3734.0,0.4424,11.06,1.708,0.5446,2.112,0.0005628,0.3878,1.268,0.0003396,3.42,85.52,0.7594,2110.0,0.04542
hash-8-itr-17-probe-6,2430.0,1.056,0.244,0.143,4148.0,0.4876,12.18,1.712,0.5886,2.48,0.0005998,0.4236,1.3994,0.0003416,3.426,85.62,0.7956,2126.0,0.0477
hash-7-itr-9-probe-6,2226.0,0.9892,0.2182,0.1302,3736.0,0.436,10.922,1.678,0.5226,2.356,0.0006326,0.3832,1.434,0.0003858,3.356,83.94,0.8126,2138.0,0.043486
hash-8-itr-17-probe-4,2210.0,0.993666666667,0.230166666667,0.131333333333,3880.0,0.460166666667,11.5,1.755,0.564166666667,1.93,0.00051,0.4135,1.12966666667,0.000301,3.50666666667,87.6833333333,0.706833333333,2108.33333333,0.0392316666667
hash-6-itr-9-probe-20,2364.0,1.034,0.2234,0.1404,3772.0,0.4468,11.2,1.594,0.4906,3.258,0.0008816,0.3686,2.062,0.000562,3.192,79.76,0.9786,2110.0,0.05251
hash-2-itr-22-probe-20,2352.0,1.062,0.2566,0.139,4340.0,0.5136,12.84,1.846,0.682,1.3564,0.0003112,0.4582,0.6974,0.0001614,3.696,92.38,0.5488,2112.0,0.041186
hash-8-itr-4-probe-16,2372.5,1.0625,0.213,0.14,3612.5,0.426,10.6325,1.525,0.46575,3.97,0.0011015,0.3325,2.6375,0.00073475,3.05,76.2,1.168,2117.5,0.0485925
hash-6-itr-17-probe-16,2328.33333333,1.06666666667,0.235666666667,0.1385,3963.33333333,0.471666666667,11.7833333333,1.70166666667,0.533666666667,2.495,0.000642666666667,0.343833333333,1.61716666667,0.000420666666667,3.40166666667,85.05,0.832166666667,2100.0,0.0380883333333
hash-6-itr-19-probe-20,2200.0,0.991,0.222166666667,0.13,3765.0,0.444666666667,11.12,1.70666666667,0.519666666667,2.45666666667,0.000676666666667,0.364666666667,1.58666666667,0.000442333333333,3.415,85.4166666667,0.823333333333,2116.66666667,0.0430166666667
hash-6-itr-19-probe-16,2390.0,1.06666666667,0.237,0.138666666667,4081.66666667,0.474333333333,11.85,1.70666666667,0.580333333333,2.51833333333,0.000635833333333,0.367,1.61,0.000411333333333,3.41333333333,85.3166666667,0.840166666667,2151.66666667,0.0389616666667
hash-7-itr-17-probe-2,2414.0,1.062,0.2554,0.1438,4288.0,0.5102,12.74,1.78,0.6006,1.846,0.0004312,0.4724,0.944,0.0002236,3.558,88.98,0.6624,2100.0,0.04824
hash-7-itr-22-probe-8,2171.66666667,0.974,0.225666666667,0.126833333333,3856.66666667,0.451166666667,11.2733333333,1.78,0.594833333333,1.92483333333,0.000509833333333,0.381333333333,1.171,0.000313666666667,3.55333333333,88.8666666667,0.7,2138.33333333,0.0295583333333
hash-5-itr-22-probe-20,2448.33333333,1.065,0.245333333333,0.143333333333,4188.33333333,0.491,12.2833333333,1.71833333333,0.539166666667,2.36166666667,0.00057,0.37,1.459,0.0003545,3.43833333333,85.9666666667,0.792833333333,2133.33333333,0.0380616666667
hash-7-itr-19-probe-8,2186.66666667,0.980833333333,0.225166666667,0.127833333333,3846.66666667,0.45,11.265,1.75666666667,0.591166666667,2.02666666667,0.000543,0.416,1.21116666667,0.000327666666667,3.51833333333,87.9166666667,0.714,2135.0,0.0316983333333
hash-7-itr-12-probe-20,2340.0,1.01916666667,0.219833333333,0.137166666667,3748.33333333,0.4395,10.9833333333,1.60833333333,0.527333333333,3.24666666667,0.000872666666667,0.352666666667,2.095,0.000563166666667,3.21666666667,80.3666666667,0.988333333333,2133.33333333,0.0449783333333
hash-7-itr-17-probe-4,2272.0,1.0314,0.2382,0.1354,4002.0,0.4762,11.902,1.762,0.5632,1.94,0.0004932,0.4336,1.1184,0.0002842,3.52,88.02,0.7052,2100.0,0.042844
hash-7-itr-22-probe-2,2328.33333333,1.0335,0.249666666667,0.138666666667,4196.66666667,0.4995,12.4666666667,1.80666666667,0.6115,1.6685,0.000402166666667,0.480333333333,0.863666666667,0.000208,3.61666666667,90.3666666667,0.617833333333,2100.0,0.0369983333333
hash-7-itr-19-probe-6,2290.0,1.005,0.236,0.135166666667,3993.33333333,0.472333333333,11.8066666667,1.75,0.605333333333,2.106,0.000536166666667,0.401166666667,1.224,0.000314333333333,3.50166666667,87.5166666667,0.733,2116.66666667,0.043715
hash-7-itr-22-probe-6,2198.33333333,0.971833333333,0.231833333333,0.131,3896.66666667,0.463666666667,11.5833333333,1.77833333333,0.585666666667,1.92833333333,0.0004985,0.437333333333,1.07983333333,0.000280166666667,3.56166666667,89.0166666667,0.683666666667,2100.0,0.0366233333333
hash-7-itr-22-probe-4,2143.33333333,0.973166666667,0.2305,0.126666666667,3900.0,0.4605,11.51,1.815,0.604166666667,1.59083333333,0.000422,0.417333333333,0.905,0.000242833333333,3.63,90.7333333333,0.620166666667,2116.66666667,0.0298
hash-7-itr-9-probe-12,2304.0,1.0316,0.2204,0.1352,3766.0,0.4408,11.008,1.634,0.4862,2.936,0.0007856,0.3654,1.86,0.0004966,3.272,81.74,0.9196,2132.0,0.038566
hash-7-itr-19-probe-4,2186.66666667,0.949166666667,0.226833333333,0.127833333333,3873.33333333,0.453166666667,11.3166666667,1.77666666667,0.644,1.73466666667,0.000452166666667,0.462166666667,0.924333333333,0.000241166666667,3.55333333333,88.8166666667,0.653833333333,2133.33333333,0.037145
hash-8-itr-22-probe-20,2347.14285714,1.03085714286,0.228428571429,0.136857142857,3918.57142857,0.456857142857,11.4142857143,1.67571428571,0.490571428571,2.9,0.000755571428571,0.337714285714,1.909,0.000497,3.35285714286,83.7714285714,0.923285714286,2142.85714286,0.0405814285714
hash-8-itr-9-probe-4,2315.0,1.017,0.228,0.136,3885.0,0.456,11.4,1.6775,0.51675,2.5825,0.0006665,0.40625,1.51,0.00038875,3.3575,83.95,0.85125,2132.5,0.054
hash-7-itr-9-probe-16,2304.0,1.0448,0.2188,0.1362,3700.0,0.4378,10.94,1.606,0.4728,3.338,0.0009082,0.3512,2.176,0.0005942,3.216,80.36,0.9602,2114.0,0.039254
hash-8-itr-9-probe-2,2362.5,1.047,0.23975,0.14075,4032.5,0.48,12.0,1.7025,0.5425,2.245,0.00056025,0.43225,1.28,0.00031975,3.41,85.2,0.78175,2100.0,0.0517
hash-7-itr-9-probe-14,2164.0,0.9724,0.2098,0.1284,3542.0,0.4198,10.492,1.634,0.4638,2.87,0.0008234,0.3644,1.83,0.0005304,3.268,81.68,0.9094,2110.0,0.04363
hash-7-itr-9-probe-18,2334.0,1.064,0.2216,0.1388,3722.0,0.443,11.08,1.594,0.4356,3.322,0.0009008,0.34,2.194,0.0006,3.188,79.68,1.0094,2100.0,0.039234
hash-7-itr-9-probe-20,2374.0,1.056,0.219,0.1386,3750.0,0.4382,10.96,1.578,0.5326,3.534,0.0009558,0.3412,2.352,0.0006418,3.156,78.92,1.0338,2142.0,0.04456
hash-7-itr-17-probe-8,2281.66666667,1.01633333333,0.231166666667,0.133166666667,3958.33333333,0.462,11.5666666667,1.73333333333,0.528166666667,2.17666666667,0.000563833333333,0.391666666667,1.33133333333,0.000348833333333,3.465,86.6666666667,0.7605,2138.33333333,0.03815
hash-8-itr-9-probe-8,2350.0,1.01,0.225,0.1382,3826.0,0.45,11.238,1.628,0.5086,2.902,0.0007656,0.3874,1.764,0.000465,3.256,81.46,0.9128,2132.0,0.05332
hash-6-itr-14-probe-18,2410.0,1.066,0.234,0.1408,4008.0,0.4684,11.72,1.662,0.5006,2.856,0.000721,0.3616,1.828,0.0004658,3.32,83.04,0.9128,2140.0,0.04592
hash-7-itr-25-probe-18,2365.71428571,1.05714285714,0.239142857143,0.140714285714,4020.0,0.478285714286,11.9571428571,1.70571428571,0.526,2.61,0.000666,0.369142857143,1.65657142857,0.000425142857143,3.41142857143,85.3142857143,0.841571428571,2100.0,0.0402285714286
hash-8-itr-25-probe-8,2370.0,1.06333333333,0.246833333333,0.140333333333,4160.0,0.493833333333,12.3166666667,1.75666666667,0.5845,2.23666666667,0.000545833333333,0.392333333333,1.30233333333,0.000322166666667,3.51666666667,87.8833333333,0.744666666667,2108.33333333,0.0345466666667
hash-8-itr-25-probe-4,2285.0,1.04616666667,0.245166666667,0.1355,4133.33333333,0.49,12.2333333333,1.80833333333,0.583833333333,1.74266666667,0.000432666666667,0.404666666667,1.02133333333,0.000256833333333,3.61166666667,90.3333333333,0.662,2108.33333333,0.0313033333333
hash-7-itr-14-probe-10,2398.0,1.06,0.2366,0.1406,4036.0,0.4734,11.84,1.686,0.5086,2.602,0.0006478,0.3786,1.612,0.0004026,3.372,84.32,0.8552,2130.0,0.043486
hash-8-itr-25-probe-6,2313.33333333,1.06166666667,0.245833333333,0.137666666667,4133.33333333,0.491666666667,12.3,1.785,0.582,1.92666666667,0.000476,0.392333333333,1.17266666667,0.000293333333333,3.56833333333,89.2333333333,0.7055,2100.0,0.03156
hash-7-itr-14-probe-12,2476.0,1.066,0.2408,0.1446,4116.0,0.482,12.04,1.668,0.5472,2.85,0.0006974,0.3956,1.72,0.0004246,3.336,83.42,0.8918,2136.0,0.049752
hash-7-itr-14-probe-14,2362.0,1.066,0.232,0.1392,3940.0,0.4644,11.6,1.668,0.4768,2.758,0.0007056,0.3516,1.798,0.0004626,3.336,83.36,0.8996,2126.0,0.039406
hash-8-itr-25-probe-2,2213.33333333,0.974833333333,0.237666666667,0.131,4020.0,0.475833333333,11.9,1.825,0.636833333333,1.611,0.000403166666667,0.437833333333,0.8435,0.000214166666667,3.655,91.3166666667,0.613833333333,2116.66666667,0.036555
hash-7-itr-14-probe-16,2290.0,0.993333333333,0.221333333333,0.133833333333,3791.66666667,0.443166666667,11.0833333333,1.65166666667,0.571333333333,2.94166666667,0.0007945,0.361,1.84666666667,0.0005005,3.31166666667,82.7333333333,0.925333333333,2141.66666667,0.0458
hash-7-itr-22-probe-20,2261.42857143,1.00214285714,0.226714285714,0.133428571429,3838.57142857,0.453571428571,11.3371428571,1.70285714286,0.569428571429,2.63142857143,0.000701857142857,0.353714285714,1.69071428571,0.000453714285714,3.40714285714,85.1857142857,0.854,2117.14285714,0.0381128571429
hash-5-itr-14-probe-14,2236.0,1.0106,0.2282,0.1326,3844.0,0.4558,11.388,1.716,0.5138,2.266,0.0006014,0.3876,1.3894,0.0003736,3.43,85.78,0.7786,2110.0,0.04268
hash-7-itr-7-probe-20,2322.0,1.056,0.2162,0.138,3636.0,0.4324,10.82,1.566,0.4506,3.5,0.0009644,0.329,2.34,0.0006446,3.13,78.32,1.0504,2100.0,0.047132
hash-5-itr-17-probe-18,2140.0,0.949666666667,0.2165,0.124833333333,3703.33333333,0.432666666667,10.815,1.73,0.530833333333,2.205,0.000611333333333,0.369666666667,1.38916666667,0.000387833333333,3.46166666667,86.55,0.7725,2140.0,0.0388733333333
hash-5-itr-17-probe-16,2193.33333333,0.966333333333,0.225833333333,0.130666666667,3796.66666667,0.451833333333,11.2833333333,1.73666666667,0.570666666667,2.24833333333,0.000597,0.403166666667,1.33,0.000354666666667,3.47333333333,86.85,0.749333333333,2100.0,0.0437833333333
hash-6-itr-22-probe-20,2426.66666667,1.04566666667,0.234166666667,0.143666666667,3953.33333333,0.468333333333,11.705,1.655,0.576166666667,2.48833333333,0.000653666666667,0.345333333333,1.63166666667,0.0004325,3.31166666667,82.8,0.824,2110.0,0.0398316666667
hash-5-itr-17-probe-14,2161.66666667,0.974,0.2225,0.1285,3745.0,0.444333333333,11.1166666667,1.73666666667,0.536333333333,2.125,0.000573166666667,0.364333333333,1.32016666667,0.000358833333333,3.47333333333,86.85,0.749166666667,2105.0,0.039945
hash-5-itr-17-probe-12,2348.0,1.054,0.24,0.1378,4092.0,0.48,11.98,1.748,0.5528,2.214,0.0005434,0.3896,1.341,0.0003288,3.494,87.34,0.7692,2130.0,0.042904
hash-5-itr-14-probe-18,2406.0,1.0408,0.2346,0.1412,3992.0,0.4688,11.72,1.666,0.5152,2.738,0.0006906,0.3832,1.662,0.0004218,3.328,83.24,0.8542,2130.0,0.049792
hash-5-itr-25-probe-14,2328.33333333,1.06666666667,0.247666666667,0.1385,4161.66666667,0.495333333333,12.4,1.78666666667,0.549833333333,1.955,0.000478666666667,0.388333333333,1.20083333333,0.000296833333333,3.57333333333,89.3833333333,0.709166666667,2100.0,0.035855
hash-8-itr-9-probe-6,2222.0,0.974,0.2214,0.1314,3734.0,0.4426,11.06,1.68,0.5412,2.54,0.0006844,0.372,1.58,0.00043,3.36,84.0,0.858,2110.0,0.0464
hash-6-itr-12-probe-20,2338.0,1.066,0.2294,0.139,3856.0,0.4588,11.48,1.656,0.5006,2.894,0.0007528,0.3432,1.89,0.0004922,3.31,82.76,0.9138,2100.0,0.036984
hash-7-itr-9-probe-10,2232.0,0.966,0.217,0.1306,3716.0,0.4344,10.862,1.666,0.496,2.784,0.0007582,0.3884,1.706,0.0004676,3.336,83.36,0.887,2140.0,0.047278
hash-6-itr-22-probe-18,2336.66666667,1.0365,0.235,0.1365,4028.33333333,0.470333333333,11.7616666667,1.72,0.586833333333,2.42,0.000636833333333,0.372,1.54433333333,0.000412,3.435,85.8833333333,0.810333333333,2146.66666667,0.035655
hash-4-itr-14-probe-18,2352.0,1.068,0.2422,0.1392,4088.0,0.4844,12.12,1.738,0.5428,2.152,0.000526,0.3748,1.3192,0.0003248,3.476,86.88,0.731,2110.0,0.043174
hash-8-itr-25-probe-20,2185.71428571,0.997714285714,0.222428571429,0.129857142857,3740.0,0.444857142857,11.1157142857,1.71,0.495142857143,2.58,0.000711285714286,0.334285714286,1.71857142857,0.000476571428571,3.42142857143,85.5714285714,0.849428571429,2100.0,0.0350428571429
hash-4-itr-14-probe-16,2372.0,1.064,0.2416,0.1388,4128.0,0.4838,12.1,1.746,0.5478,2.118,0.0005114,0.3934,1.262,0.0003052,3.49,87.22,0.7352,2134.0,0.04318
hash-7-itr-17-probe-20,2386.66666667,1.06666666667,0.2315,0.141333333333,3913.33333333,0.462666666667,11.5833333333,1.645,0.578166666667,3.125,0.000807166666667,0.326833333333,2.06666666667,0.000535833333333,3.29333333333,82.3166666667,0.914833333333,2113.33333333,0.0438583333333
hash-6-itr-22-probe-12,2308.33333333,1.03466666667,0.237,0.1345,4065.0,0.474,11.8483333333,1.76,0.538,2.1,0.000531833333333,0.361666666667,1.33883333333,0.000339333333333,3.52,88.0,0.747333333333,2145.0,0.03257
hash-6-itr-22-probe-14,2198.57142857,0.976285714286,0.226285714286,0.130142857143,3818.57142857,0.452714285714,11.3071428571,1.74,0.609714285714,2.2,0.000585,0.381571428571,1.34514285714,0.000363428571429,3.48142857143,87.0285714286,0.743,2110.0,0.0347371428571
hash-6-itr-22-probe-16,2418.33333333,1.065,0.240666666667,0.141,4120.0,0.481,12.0,1.705,0.543666666667,2.48,0.000615666666667,0.376833333333,1.54616666667,0.000387833333333,3.405,85.15,0.8105,2143.33333333,0.056705
hash-7-itr-17-probe-14,2323.33333333,1.06333333333,0.234833333333,0.137666666667,3958.33333333,0.469333333333,11.7333333333,1.705,0.501166666667,2.51833333333,0.000648666666667,0.345166666667,1.63333333333,0.0004255,3.40833333333,85.25,0.840333333333,2108.33333333,0.032175
hash-7-itr-17-probe-16,2223.33333333,0.989833333333,0.224,0.132333333333,3765.0,0.448166666667,11.2016666667,1.69666666667,0.544333333333,2.64166666667,0.000735833333333,0.381,1.61866666667,0.000457,3.395,84.8166666667,0.831833333333,2100.0,0.0373016666667
hash-7-itr-17-probe-10,2156.66666667,0.974,0.219833333333,0.1275,3720.0,0.439166666667,10.9616666667,1.725,0.555666666667,2.22333333333,0.000609166666667,0.367833333333,1.4115,0.0003895,3.44666666667,86.1833333333,0.7575,2116.66666667,0.0325666666667
hash-7-itr-17-probe-12,2401.66666667,1.065,0.241,0.142333333333,4068.33333333,0.482166666667,12.05,1.7,0.5265,2.59833333333,0.000640666666667,0.377666666667,1.58,0.000392166666667,3.40166666667,85.0166666667,0.834166666667,2110.0,0.0431533333333
hash-6-itr-14-probe-14,2442.0,1.066,0.2444,0.1454,4110.0,0.4892,12.24,1.686,0.5098,2.752,0.0006754,0.4048,1.626,0.0004044,3.372,84.28,0.8564,2100.0,0.04898
hash-6-itr-14-probe-12,2346.0,1.0356,0.233,0.1372,3984.0,0.4664,11.658,1.696,0.5626,2.506,0.0006376,0.3864,1.536,0.0003936,3.39,84.74,0.8314,2136.0,0.04428
hash-7-itr-17-probe-18,2495.0,1.06833333333,0.227666666667,0.145166666667,3913.33333333,0.455833333333,11.4,1.58666666667,0.5495,2.84666666667,0.00074,0.3525,1.85,0.000482166666667,3.17166666667,79.3166666667,0.909,2148.33333333,0.0340616666667
hash-8-itr-12-probe-20,2233.33333333,0.959333333333,0.208333333333,0.129833333333,3573.33333333,0.416333333333,10.4233333333,1.61,0.480333333333,3.34833333333,0.000942666666667,0.338666666667,2.195,0.000618,3.21666666667,80.45,1.00433333333,2145.0,0.0449833333333
hash-6-itr-14-probe-16,2418.0,1.06,0.2374,0.1412,4058.0,0.475,11.88,1.68,0.5306,2.8,0.000692,0.3636,1.788,0.0004426,3.362,84.06,0.9046,2134.0,0.04822
hash-7-itr-12-probe-6,2368.0,1.066,0.2344,0.1396,3964.0,0.4686,11.7,1.678,0.5842,2.52,0.0006328,0.3792,1.548,0.0003892,3.356,83.94,0.8044,2112.0,0.042818
hash-5-itr-12-probe-12,2784.0,1.048,0.2422,0.1656,4072.0,0.4848,12.12,1.53,0.4722,4.714,0.001125,0.34988,3.542,0.0008428,3.056,76.4,1.4408,2100.0,0.0594
hash-7-itr-14-probe-20,2323.33333333,1.01016666667,0.2215,0.135333333333,3798.33333333,0.443166666667,11.075,1.64166666667,0.515833333333,3.04,0.000815166666667,0.350833333333,1.97,0.0005285,3.28666666667,82.1333333333,0.9485,2141.66666667,0.03883
hash-7-itr-12-probe-2,2372.0,1.064,0.2418,0.139,4116.0,0.4834,12.06,1.734,0.6032,1.948,0.0004734,0.427,1.092,0.0002682,3.47,86.74,0.7144,2130.0,0.04554
hash-5-itr-12-probe-16,2320.0,1.05,0.2332,0.1382,3920.0,0.4664,11.66,1.69,0.5424,2.52,0.0006536,0.3732,1.576,0.0004124,3.376,84.36,0.832,2100.0,0.04498
hash-7-itr-22-probe-14,2355.0,1.0435,0.24,0.139333333333,4046.66666667,0.48,11.9666666667,1.72666666667,0.602,2.46333333333,0.0006215,0.391,1.5155,0.000383333333333,3.455,86.3333333333,0.7965,2108.33333333,0.0369533333333
hash-5-itr-12-probe-18,2356.0,1.0518,0.2312,0.1378,3954.0,0.4628,11.58,1.68,0.511,2.61,0.0006692,0.3614,1.662,0.000428,3.358,83.92,0.8582,2136.0,0.043542
hash-7-itr-22-probe-16,2301.66666667,1.00816666667,0.229666666667,0.1345,3925.0,0.459166666667,11.48,1.70833333333,0.588833333333,2.61666666667,0.000685333333333,0.374666666667,1.615,0.000423666666667,3.41333333333,85.3333333333,0.836833333333,2136.66666667,0.0357666666667
hash-7-itr-25-probe-16,2382.85714286,1.06714285714,0.241571428571,0.141857142857,4061.42857143,0.483285714286,12.0714285714,1.70714285714,0.552428571429,2.6,0.000655857142857,0.354571428571,1.65314285714,0.000423142857143,3.41714285714,85.4285714286,0.847142857143,2100.0,0.0389457142857
